Entry	Ensembl_Protein
Q9BPX3	ENSP00000251496
Q7Z478	ENSP00000251636
Q9UQR0	ENSP00000251900
Q8IZ69	ENSP00000252136
J3KMZ8	ENSP00000252268
Q14151	ENSP00000252542
Q13263	ENSP00000253024
Q9UPT8	ENSP00000253048
Q9NQ55	ENSP00000253107
Q8WUA2	ENSP00000253329
Q13136	ENSP00000253925
P35637	ENSP00000254108
Q92922	ENSP00000254480
Q8TEM1	ENSP00000254508
Q9NQZ2	ENSP00000254803
Q8WYP3	ENSP00000255006
Q9C0E2	ENSP00000255305
Q9H7F0	ENSP00000256031
Q14671	ENSP00000257075
Q53H80	ENSP00000257787
Q9Y613	ENSP00000258201
P30419	ENSP00000258960
Q9Y597	ENSP00000259154
Q13371	ENSP00000259467
Q14980	ENSP00000260051
Q96RS0	ENSP00000260129
Q9BRD0	ENSP00000260210
Q02241	ENSP00000260363
Q52LW3	ENSP00000260526
Q92547	ENSP00000260810
P20020	ENSP00000261173
P20700	ENSP00000261366
Q9Y343	ENSP00000261369
Q14126	ENSP00000261590
Q96FV9	ENSP00000261600
O95714	ENSP00000261609
O75691	ENSP00000261637
O00505	ENSP00000261667
Q9P035	ENSP00000261875
Q96CW5	ENSP00000261965
P49756	ENSP00000261973
Q92576	ENSP00000262043
P49790	ENSP00000262077
P33991	ENSP00000262105
Q08999	ENSP00000262133
O75190	ENSP00000262177
P25490	ENSP00000262238
Q9Y4R8	ENSP00000262319
P49916	ENSP00000262327
O75113	ENSP00000262384
Q6ZRS2	ENSP00000262518
O15047	ENSP00000262519
Q86X29	ENSP00000262627
P24864	ENSP00000262643
O43847	ENSP00000262679
Q92900	ENSP00000262803
P55199	ENSP00000262809
Q9P2F8	ENSP00000262861
Q9Y3Z3	ENSP00000262878
P18887	ENSP00000262887
Q8IYU2	ENSP00000262903
P15923	ENSP00000262965
Q9Y3S2	ENSP00000262990
Q13480	ENSP00000262995
O00418	ENSP00000263026
Q86US8	ENSP00000263073
Q16204	ENSP00000263102
O60885	ENSP00000263377
Q96PE2	ENSP00000263674
Q15054	ENSP00000263681
Q8N3X1	ENSP00000263773
P22059	ENSP00000263847
O43815	ENSP00000263918
Q16514	ENSP00000263974
O94887	ENSP00000264042
Q8N5V2	ENSP00000264051
Q9GZU1	ENSP00000264079
Q14566	ENSP00000264156
Q9Y2X3	ENSP00000264279
Q14966	ENSP00000264447
Q9Y2Q0	ENSP00000264449
Q9P1Y6	ENSP00000264555
Q08J23	ENSP00000264670
P27708	ENSP00000264705
Q86WP2	ENSP00000264779
Q9NS91	ENSP00000264926
P49736	ENSP00000265056
Q96KR1	ENSP00000265069
Q9NW82	ENSP00000265107
Q8WW12	ENSP00000265260
Q9P2N5	ENSP00000265271
Q9UHB7	ENSP00000265343
P11831	ENSP00000265354
P31323	ENSP00000265717
Q9NQW6	ENSP00000265748
Q12893	ENSP00000266025
P42166	ENSP00000266732
P06400	ENSP00000267163
P49023	ENSP00000267257
Q16799	ENSP00000267484
P55081	ENSP00000267812
Q01850	ENSP00000268383
Q9ULX3	ENSP00000268802
P35580	ENSP00000269243
Q96F63	ENSP00000269967
P12694	ENSP00000269980
Q9P2B4	ENSP00000271277
Q92733	ENSP00000271526
Q9P2M7	ENSP00000271636
Q9BU76	ENSP00000272139
O00470	ENSP00000272369
Q6DN90	ENSP00000273221
Q8WWQ0	ENSP00000275034
H7BXI1	ENSP00000275418
O75420	ENSP00000275732
Q86UE8	ENSP00000275780
Q9H7D0	ENSP00000276440
A0A0C4DH09	ENSP00000277537
Q9H8M7	ENSP00000277632
Q9UEY8	ENSP00000277900
Q08945	ENSP00000278412
Q9NQS7	ENSP00000278849
Q01970	ENSP00000279230
Q9BW71	ENSP00000279392
Q53EL6	ENSP00000280154
Q8IZD4	ENSP00000280665
O43150	ENSP00000281419
Q07157	ENSP00000281537
Q9UKT5	ENSP00000281623
Q5W0B1	ENSP00000282003
Q5T200	ENSP00000282007
P47974	ENSP00000282388
P46937	ENSP00000282441
P17302	ENSP00000282561
Q9BVS4	ENSP00000283109
P49792	ENSP00000283195
Q14669	ENSP00000283943
O14646	ENSP00000284049
O94826	ENSP00000284320
Q8NFG4	ENSP00000285071
Q9BYG3	ENSP00000285814
A0A1P0AZG4	ENSP00000286067
P50990	ENSP00000286788
O14867	ENSP00000286800
Q13009	ENSP00000286827
Q9C0B5	ENSP00000287169
Q6PL18	ENSP00000287394
Q9UKG1	ENSP00000288266
A0A2U3TZI2	ENSP00000288602
Q96PY5	ENSP00000288670
O60841	ENSP00000289371
Q9UPN3	ENSP00000289893
Q68EM7	ENSP00000289968
Q9NZT2	ENSP00000290291
Q9NZI8	ENSP00000290341
Q96A47	ENSP00000290759
O60318	ENSP00000291688
Q16643	ENSP00000292385
Q9UFC0	ENSP00000292616
Q9NQ29	ENSP00000293872
Q9BUA3	ENSP00000294244
Q8N6L1	ENSP00000295682
Q8TCG1	ENSP00000295746
Q8TCJ2	ENSP00000295770
Q9UK58	ENSP00000295926
Q96AT1	ENSP00000296121
Q8TAD8	ENSP00000296215
Q9BXB4	ENSP00000296220
P13798	ENSP00000296456
Q9Y2F5	ENSP00000296564
P46821	ENSP00000296755
O95391	ENSP00000297151
J3KNB8	ENSP00000297332
O94913	ENSP00000298281
Q7Z5K2	ENSP00000298767
Q9UKS6	ENSP00000298838
Q93100	ENSP00000299167
P12277	ENSP00000299198
Q9BRS8	ENSP00000299213
Q7Z7K6	ENSP00000299736
Q86TB9	ENSP00000300146
Q9Y3Q8	ENSP00000300181
Q9ULW0	ENSP00000300403
Q15648	ENSP00000300651
Q13111	ENSP00000301280
Q9UQ35	ENSP00000301740
Q1KMD3	ENSP00000301785
Q14247	ENSP00000301843
Q96KN1	ENSP00000302578
Q13098	ENSP00000302873
Q9UQ80	ENSP00000302886
Q8TAQ2	ENSP00000302919
P31350	ENSP00000302955
Q15696	ENSP00000303015
Q9H0W5	ENSP00000303158
P10636	ENSP00000303214
Q96DY7	ENSP00000303398
Q29RF7	ENSP00000303427
Q9H6H4	ENSP00000303482
Q8WU17	ENSP00000304051
Q8TDD1	ENSP00000304072
P49327	ENSP00000304592
Q15365	ENSP00000305556
Q7Z2K8	ENSP00000305839
Q16637	ENSP00000305857
Q15059	ENSP00000305918
Q9H0K1	ENSP00000305976
Q9ULM3	ENSP00000306983
Q56NI9	ENSP00000306999
Q8IU81	ENSP00000307265
Q13615	ENSP00000307271
O15062	ENSP00000307604
Q9UNX4	ENSP00000308179
Q7L2J0	ENSP00000308546
P17612	ENSP00000309591
O75367	ENSP00000310169
O43290	ENSP00000310448
Q99638	ENSP00000311360
Q96T23	ENSP00000311513
O95747	ENSP00000311713
Q96PK6	ENSP00000311747
Q96G46	ENSP00000311977
P51580	ENSP00000312304
E7EXA6	ENSP00000313029
Q14103	ENSP00000313327
P56270	ENSP00000313362
Q9BZ23	ENSP00000313377
P98082	ENSP00000313391
Q9Y2K6	ENSP00000313811
Q07666	ENSP00000313829
Q9NTI5	ENSP00000313851
Q9UJX6	ENSP00000314004
Q9H4L4	ENSP00000314029
Q13177	ENSP00000314067
Q8IWA0	ENSP00000314193
Q4G0J3	ENSP00000314311
Q8WVC0	ENSP00000314610
Q12830	ENSP00000315454
Q13112	ENSP00000315700
Q7Z6E9	ENSP00000316291
F8W8D3	ENSP00000316490
O15014	ENSP00000316527
O75643	ENSP00000317123
Q04637	ENSP00000317600
Q9Y3T9	ENSP00000317992
Q01105	ENSP00000318012
Q8IWC1	ENSP00000318086
Q96I24	ENSP00000318177
P19338	ENSP00000318195
Q96E39	ENSP00000318415
Q9H063	ENSP00000318604
Q9UJX5	ENSP00000318775
Q9BXK5	ENSP00000318883
Q9NQQ7	ENSP00000318960
Q8IX90	ENSP00000319417
Q8N1G0	ENSP00000319829
Q92597	ENSP00000319977
Q8NAF0	ENSP00000320188
Q6NW34	ENSP00000320251
Q659C4	ENSP00000321997
Q9UHX1	ENSP00000322036
Q01581	ENSP00000322706
Q49A26	ENSP00000322716
A0A3F2YNW9	ENSP00000322791
Q5VZL5	ENSP00000322915
Q9Y4F1	ENSP00000322926
Q7Z5J4	ENSP00000323074
Q96T60	ENSP00000323511
O95365	ENSP00000323670
Q9BWU0	ENSP00000323837
Q8NHG8	ENSP00000323879
Q15057	ENSP00000324287
Q15942	ENSP00000324422
Q8WUX9	ENSP00000324491
O75385	ENSP00000324560
Q8NCF5	ENSP00000324792
P49841	ENSP00000324806
Q13428	ENSP00000325223
Q66K74	ENSP00000325313
Q8WXE0	ENSP00000325355
P52272	ENSP00000325376
O15027	ENSP00000325827
P49959	ENSP00000325863
P62136	ENSP00000326031
Q9NV70	ENSP00000326514
Q9Y6A5	ENSP00000326550
P49759	ENSP00000326830
Q8NDV7	ENSP00000326900
Q15154	ENSP00000327077
P57081	ENSP00000328671
P20265	ENSP00000329170
P08047	ENSP00000329357
Q92522	ENSP00000329662
Q96QT6	ENSP00000329933
Q6IQ22	ENSP00000331748
Q5VZK9	ENSP00000331983
Q9Y487	ENSP00000332247
Q12873	ENSP00000332628
Q8NB49	ENSP00000332756
O75152	ENSP00000333253
Q15139	ENSP00000333568
Q15361	ENSP00000333920
O00629	ENSP00000334373
Q96II8	ENSP00000334375
Q8NEN9	ENSP00000334642
Q9Y5T5	ENSP00000334808
O75533	ENSP00000335321
Q01167	ENSP00000335677
Q13185	ENSP00000336687
Q6PKG0	ENSP00000336721
P68363	ENSP00000336799
Q9H2G2	ENSP00000336824
Q9NP66	ENSP00000336856
Q96AD5	ENSP00000337701
Q7KZ85	ENSP00000338143
Q86UE4	ENSP00000338235
Q9H116	ENSP00000338290
Q9UNF0	ENSP00000338379
O43491	ENSP00000338481
Q8WWM7	ENSP00000338718
Q3V6T2	ENSP00000338728
Q8WU90	ENSP00000338788
Q96JP5	ENSP00000339030
Q9Y388	ENSP00000339090
Q9H1A4	ENSP00000339109
Q14684	ENSP00000339145
O75962	ENSP00000339299
Q99575	ENSP00000339529
Q86X95	ENSP00000339723
P13611	ENSP00000340062
Q9UHB6	ENSP00000340184
Q9Y2D8	ENSP00000340279
Q14004	ENSP00000340557
Q8TEW0	ENSP00000340591
Q92882	ENSP00000340836
Q8NEF9	ENSP00000341324
Q9H6Z4	ENSP00000341483
O43768	ENSP00000341743
Q8WUB8	ENSP00000341805
P09651	ENSP00000341826
Q13426	ENSP00000342011
Q8N7R7	ENSP00000342344
Q9H2P0	ENSP00000342905
Q9NRX5	ENSP00000342962
P52756	ENSP00000343054
O14579	ENSP00000343134
O43399	ENSP00000343547
Q14315	ENSP00000344002
Q8ND76	ENSP00000344275
O95997	ENSP00000344936
Q9NZ53	ENSP00000345359
Q01433	ENSP00000345498
P26358	ENSP00000345739
Q9UKX7	ENSP00000345895
P05386	ENSP00000346037
P61247	ENSP00000346050
Q6P5R6	ENSP00000346080
Q9NR30	ENSP00000346120
Q7KZF4	ENSP00000346762
P42858	ENSP00000347184
Q12955	ENSP00000347436
Q9UEW8	ENSP00000348278
Q4VB86	ENSP00000348397
Q12789	ENSP00000348510
A0A384DVL6	ENSP00000348551
Q13283	ENSP00000348578
Q13153	ENSP00000348696
P18583	ENSP00000348984
Q01082	ENSP00000334156,ENSP00000349259
Q9H165	ENSP00000349300
Q8TD16	ENSP00000349351
H7BY16	ENSP00000349410
P11717	ENSP00000349437
O60271	ENSP00000349636
Q96P16	ENSP00000349955
Q9BWW4	ENSP00000350067
Q9NQC3	ENSP00000350365
Q9UN86	ENSP00000350518
P12931	ENSP00000350941
P21359	ENSP00000351015
Q86WB0	ENSP00000351052
Q15007	ENSP00000351141
Q9UPN9	ENSP00000351250
Q8WUI4	ENSP00000351326
Q6UN15	ENSP00000351383
O75179	ENSP00000351416
Q6ZRP7	ENSP00000351536
P30622	ENSP00000351665
P55072	ENSP00000351777
Q6P2E9	ENSP00000351811
Q9H4L7	ENSP00000351947
O75151	ENSP00000352185
Q9Y5K6	ENSP00000352264
Q9UGU0	ENSP00000352463
P11274	ENSP00000352535
Q8WUA4	ENSP00000352536
O75122	ENSP00000352581
Q9UGV2	ENSP00000352703
A0A3B3IPE9	ENSP00000352995
Q96BY7	ENSP00000353010
P12956	ENSP00000353192
O15523	ENSP00000353284
Q92625	ENSP00000353518
Q96ST3	ENSP00000353622
O96013	ENSP00000353625
Q9H7N4	ENSP00000353769
O94811	ENSP00000353785
O75717	ENSP00000353793
P22626	ENSP00000354021
Q9H3Z4	ENSP00000354111
P55884	ENSP00000354125
Q9ULU4	ENSP00000354166
Q06210	ENSP00000354347
Q99759	ENSP00000354485
O15085	ENSP00000354644
Q9UQE7	ENSP00000354720
P30050	ENSP00000354739
Q96S82	ENSP00000354883
Q5VUA4	ENSP00000354964
Q6PD62	ENSP00000355013
Q8WYA6	ENSP00000355050
A0A0A0MRH8	ENSP00000355100
Q8TC76	ENSP00000355204
Q9Y519	ENSP00000355210
Q7L8J4	ENSP00000355428
Q8WYP5	ENSP00000355464
Q5SW79	ENSP00000355500,ENSP00000355501
Q15388	ENSP00000355566
Q8N8S7	ENSP00000355809
P07814	ENSP00000355890
P49454	ENSP00000355922
Q15678	ENSP00000355923
Q9H1E3	ENSP00000356110
O94885	ENSP00000356437
P12270	ENSP00000356448
Q86X27	ENSP00000356607
Q9BZD4	ENSP00000356875
Q5TAQ9	ENSP00000357053
B1AKZ5	ENSP00000357056
P51858	ENSP00000357192
Q9NR48	ENSP00000357330
Q8NI08	ENSP00000357341
Q9HD26	ENSP00000357484
P46013	ENSP00000357643
Q8WXI9	ENSP00000357644
Q9BWG6	ENSP00000357898
Q15047	ENSP00000357965
Q5VT52	ENSP00000358064
Q14152	ENSP00000358140
Q9Y3E2	ENSP00000358146
Q8N3C0	ENSP00000358159
Q7L804	ENSP00000358200
A0A0A0MRL6	ENSP00000358256
O43318	ENSP00000358331
Q5T481	ENSP00000358532
O60832	ENSP00000358563
O75940	ENSP00000358605
Q5HY57	ENSP00000358850
Q9BYE7	ENSP00000358862
Q9NWZ5	ENSP00000358924
Q92538	ENSP00000359000
Q5VTL8	ENSP00000359042
O60502	ENSP00000359112
Q16513	ENSP00000359544
P22694	ENSP00000359719
Q8IWS0	ENSP00000359836
O95218	ENSP00000359958
Q8ND82	ENSP00000360017
Q8NC51	ENSP00000354591,ENSP00000360029
Q5JTH9	ENSP00000360031
P36871	ENSP00000360125
Q8N3U4	ENSP00000360187
P05412	ENSP00000360266
O00151	ENSP00000360305
Q8N5F7	ENSP00000360464
Q9NQP4	ENSP00000360473
O15541	ENSP00000360497
P61326	ENSP00000360525
Q9BUH6	ENSP00000360682
P08238	ENSP00000360709
Q9NRR6	ENSP00000360777
B1AUU8	ENSP00000360795
Q5JSH3	ENSP00000360887,ENSP00000360890
E7ERL6	ENSP00000361079
O75683	ENSP00000361092
Q96S44	ENSP00000361186
Q9UKN8	ENSP00000361219
Q13905	ENSP00000361263
Q5JR95	ENSP00000361283
Q9NPF5	ENSP00000361363
Q13868	ENSP00000361433
Q5JTD0	ENSP00000361521
Q9NZ63	ENSP00000361524
P67809	ENSP00000361626
Q5SRE5	ENSP00000361658
Q969E4	ENSP00000361710
Q8WU79	ENSP00000361803
Q13813	ENSP00000361824
Q9Y3D3	ENSP00000362036
Q86U90	ENSP00000362135
Q53HL2	ENSP00000362146
Q3KQU3	ENSP00000362244
Q9HAW4	ENSP00000362317
Q96TA1	ENSP00000362409
Q9NQG5	ENSP00000362532
Q8N1G2	ENSP00000362550
P49006	ENSP00000362638
Q13547	ENSP00000362649
P40222	ENSP00000362711
Q99460	ENSP00000362738
B5MDQ0	ENSP00000362761
Q9H410	ENSP00000362855
Q96SB4	ENSP00000362931
Q8IZ21	ENSP00000362942
Q8NHZ8	ENSP00000363322
Q8N5G2	ENSP00000363463
O95239	ENSP00000363524
P56537	ENSP00000363574
Q14692	ENSP00000363642
Q9Y4W2	ENSP00000363937
P20042	ENSP00000364119
Q9UNF1	ENSP00000364198
Q9UKM9	ENSP00000364255
Q1RLN5	ENSP00000364394
Q5JVS0	ENSP00000364398
Q9P266	ENSP00000364526
Q13619	ENSP00000364589
Q14155	ENSP00000364893
Q96T58	ENSP00000364912
Q9Y4H2	ENSP00000365016
Q96GX5	ENSP00000365113
P98179	ENSP00000365950
O94991	ENSP00000366283
O60333	ENSP00000366290
Q96RL1	ENSP00000366434
O43493	ENSP00000366603
Q8TEA8	ENSP00000366672
Q96CX2	ENSP00000366694
P98175	ENSP00000328848,ENSP00000366829
Q9Y2L1	ENSP00000367011
Q09666	ENSP00000367263
Q8IVP5	ENSP00000367284
P78345	ENSP00000367439
Q8N1G4	ENSP00000367498
Q93008	ENSP00000367558
Q8TB03	ENSP00000367683
Q9BZZ5	ENSP00000368129
Q96DT7	ENSP00000368384
Q9NPE2	ENSP00000368389
Q8IXQ4	ENSP00000368447
Q6ZS17	ENSP00000368614
Q06265	ENSP00000368984
P08559	ENSP00000369134
Q9BRS2	ENSP00000369162
Q9UHY1	ENSP00000369181
Q96I25	ENSP00000369218
Q96A49	ENSP00000369500
P42568	ENSP00000369695
Q7Z628	ENSP00000369717
Q9NWH9	ENSP00000369887
Q99733	ENSP00000369915
O75475	ENSP00000370092
P05114	ENSP00000370125
F8WE91	ENSP00000370132
Q9Y5U2	ENSP00000370384
O75970	ENSP00000370410
Q01813	ENSP00000370517
O00567	ENSP00000370589
Q9BQG0	ENSP00000370968
Q9Y217	ENSP00000371221
O75694	ENSP00000371265
P27348	ENSP00000371267
P35251	ENSP00000371321
E9PGC8	ENSP00000371462
Q12888	ENSP00000371475
Q92793	ENSP00000371502
Q9C0I1	ENSP00000371577
Q9NZJ4	ENSP00000371729
Q6GYQ0	ENSP00000371803
P46087	ENSP00000371858
Q9NRL2	ENSP00000371859
Q9NYM9	ENSP00000372210
Q8WYQ5	ENSP00000372488
P10809	ENSP00000373620
E9PER6	ENSP00000373876
Q99569	ENSP00000374409
Q99698	ENSP00000374443
Q8NBN3	ENSP00000374484
Q9H0X9	ENSP00000374639
H7BYH4	ENSP00000374645
P0DMV9	ENSP00000375391
Q96B36	ENSP00000375710
Q32MZ4	ENSP00000375857
P31751	ENSP00000375892
Q8IXJ6	ENSP00000375931
P24534	ENSP00000376056
Q13595	ENSP00000376290
P10644	ENSP00000376475
A8MTF7	ENSP00000376513
P34947	ENSP00000376609
Q86VQ0	ENSP00000376686
O94876	ENSP00000376930
Q7Z3U7	ENSP00000377250
Q9H0B6	ENSP00000377630
Q9NUY8	ENSP00000377700
Q96E09	ENSP00000377807
Q9BVJ6	ENSP00000377944
P35269	ENSP00000377969
A8MYJ1	ENSP00000378018
Q92934	ENSP00000378040
Q9NPI1	ENSP00000378180
P43243	ENSP00000378284
Q9H5J0	ENSP00000378286
Q9UJX2	ENSP00000378350
P06493	ENSP00000378699
P25440	ENSP00000378702
E9PBF6	ENSP00000378761
Q8NEY8	ENSP00000378935
Q96QR8	ENSP00000379051
E7EW05	ENSP00000379061
P27816	ENSP00000379083
E7EVK1	ENSP00000379190
A0A0C4DH44	ENSP00000379381
Q8N9B5	ENSP00000379441
Q96PC5	ENSP00000379468
Q9Y608	ENSP00000379705
Q9H4L5	ENSP00000379708
Q5T5U3	ENSP00000379709
Q9BUR4	ENSP00000379727
O96007	ENSP00000380157
P52948	ENSP00000380199
P49589	ENSP00000380300
Q8N8A6	ENSP00000380495
B1AKL4	ENSP00000380657
Q96AY4	ENSP00000381003
Q9P260	ENSP00000381198
Q92945	ENSP00000381216
Q14195	ENSP00000381526
A0A0B4J1W3	ENSP00000381920
Q9UER7	ENSP00000382014
Q6P6C2	ENSP00000382091
E7ERV5	ENSP00000382175
H7BYU6	ENSP00000382352
Q13233	ENSP00000382423
Q9GZN8	ENSP00000382580
P29375	ENSP00000382688
G5E9E7	ENSP00000382890
P55196	ENSP00000383623
Q9P206	ENSP00000383851
Q9NXC5	ENSP00000384088
Q13330	ENSP00000384180
Q9Y4P1	ENSP00000384259
Q8WXG6	ENSP00000384287
Q15061	ENSP00000384302
Q9UBB9	ENSP00000384421
H7BYY2	ENSP00000384485
O00267	ENSP00000384505
Q02952	ENSP00000384537
B5MBZ0	ENSP00000384939
Q8TEV9	ENSP00000385025
Q9BY44	ENSP00000385292
Q14978	ENSP00000385410
Q96QZ7	ENSP00000385450
O14980	ENSP00000385559
Q7KZI7	ENSP00000385751
O43524	ENSP00000385824
Q8TEW8	ENSP00000385848
O95696	ENSP00000385858
A0A0A0MSF3	ENSP00000386132
Q5JSB5	ENSP00000386145
P23508	ENSP00000386227
G5E9G6	ENSP00000386388
Q5T5Y3	ENSP00000386420
A0A3F2YNY6	ENSP00000386458
Q7Z3C6	ENSP00000386482
Q4KMP7	ENSP00000386538
P05455	ENSP00000386636
I1E4Y6	ENSP00000386765
Q7Z3K3	ENSP00000386836
Q13614	ENSP00000345752,ENSP00000386882
A0A0C4DG07	ENSP00000386924
Q6Y7W6	ENSP00000387170
Q9Y2U5	ENSP00000387246
P52594	ENSP00000387282
E9PHV5	ENSP00000387319
Q13610	ENSP00000387365
Q14676	ENSP00000387429
O14497	ENSP00000387636
Q8IY63	ENSP00000387739
Q96JB3	ENSP00000387757
O95453	ENSP00000387911
H7BZ93	ENSP00000388349
Q8N1F8	ENSP00000389383
C9JI87	ENSP00000390129
Q15751	ENSP00000390158
C9JH55	ENSP00000390382
Q96N64	ENSP00000390462
P25788	ENSP00000390491
Q13188	ENSP00000390500
Q8WVM8	ENSP00000390783
C9JEJ8	ENSP00000390942
C9JEJ2	ENSP00000390968
E9PCT1	ENSP00000391430
A0A0C4DG21	ENSP00000391433
O75167	ENSP00000391763
P29692	ENSP00000391944
Q9P2D1	ENSP00000392028
Q9UDY2	ENSP00000392178
H7BZZ1	ENSP00000392203
Q92729	ENSP00000392332
Q00839	ENSP00000393151
C9JWS9	ENSP00000393179
Q9H3N1	ENSP00000393316
Q86V48	ENSP00000393460
H0Y4R1	ENSP00000393525
Q9NR09	ENSP00000393596
Q0JRZ9	ENSP00000393776
P02765	ENSP00000393887
O60231	ENSP00000393958
P13861	ENSP00000394041
Q9Y232	ENSP00000380718,ENSP00000394076
Q9ULL5	ENSP00000394510
P49585	ENSP00000394617
Q86UP2	ENSP00000394992
Q9UBL3	ENSP00000395310
P23193	ENSP00000395483
P51608	ENSP00000395535
C9JHL2	ENSP00000395770
H0Y507	ENSP00000395781
Q9BXH1	ENSP00000395862
O60343	ENSP00000395986
E9PGM9	ENSP00000396466
O14545	ENSP00000396526
P15924	ENSP00000396591
Q8IY81	ENSP00000396673
Q02880	ENSP00000396704
E7EW59	ENSP00000396773
Q7Z401	ENSP00000396830
H0Y579	ENSP00000396975
C9JAT7	ENSP00000397256
E9PMG1	ENSP00000397941
Q69YN4	ENSP00000297591,ENSP00000398390
P04637	ENSP00000398846
P55201	ENSP00000398863
H7C179	ENSP00000398873
H0Y5J4	ENSP00000398931
Q01826	ENSP00000399518
A0A0A0MSQ9	ENSP00000399613
P17096	ENSP00000399888
E7EN38	ENSP00000400049
G5E9L0	ENSP00000400226
E7EMN6	ENSP00000400238
F8WC91	ENSP00000400690
Q14244	ENSP00000346581,ENSP00000400790
Q8TDJ6	ENSP00000400855
Q8WXE1	ENSP00000400930
Q5JRS2	ENSP00000401101
P14859	ENSP00000401217
B0QXZ9	ENSP00000401658
Q7Z434	ENSP00000401980
F8WE49	ENSP00000402049
P30291	ENSP00000402084
C9JMI6	ENSP00000402272
Q9NXD2	ENSP00000402537
Q96FW1	ENSP00000402551
Q8TAP6	ENSP00000403074
Q9Y463	ENSP00000403182
Q15773	ENSP00000403941
A0A0A0MSU9	ENSP00000404020
Q96S90	ENSP00000404059
Q9H3Q1	ENSP00000338258,ENSP00000404270
Q96Q05	ENSP00000405060
P78316	ENSP00000405068
C9J470	ENSP00000405237
Q96PU5	ENSP00000405440
E7EQT4	ENSP00000405677
Q92997	ENSP00000405885
H0Y6J8	ENSP00000406053
H0Y6K5	ENSP00000406140
Q6KC79	ENSP00000282516,ENSP00000406266
Q86W71	ENSP00000406894
Q5STZ8	ENSP00000406948
H0Y6Q4	ENSP00000407044
Q13427	ENSP00000407083
Q12923	ENSP00000407249
E9PHI6	ENSP00000407279
H0Y6S1	ENSP00000407315
H7C2R9	ENSP00000407380
A2A2D0	ENSP00000407567
P51991	ENSP00000408487
P17252	ENSP00000408695
Q96HR8	ENSP00000408963
Q96CW1	ENSP00000409081
H9KVD1	ENSP00000409257
Q01804	ENSP00000409279
Q5SYF9	ENSP00000409615
Q5QJE6	ENSP00000411010
H7C3D5	ENSP00000411247
P11388	ENSP00000411532
Q8IXM2	ENSP00000411851
E7EUA0	ENSP00000411902
P38159	ENSP00000411989
E9PI52	ENSP00000412148
P23588	ENSP00000412530
H7C3P6	ENSP00000413146
X6RJY0	ENSP00000413187
Q96N67	ENSP00000251157,ENSP00000413583
F8VVL1	ENSP00000413661
Q9Y6M1	ENSP00000413787
Q8TDN4	ENSP00000413851
Q5UIP0	ENSP00000414615
A0A0A0MT47	ENSP00000414663
H0Y7V8	ENSP00000415388
Q9NYZ3	ENSP00000415430
Q5T1M5	ENSP00000238256,ENSP00000415733
E7EMT0	ENSP00000415914
Q5QPL9	ENSP00000415973
Q7RTP6	ENSP00000416015
E7EV54	ENSP00000416231
A0A0C4DG89	ENSP00000416534
Q6UUV7	ENSP00000416573
Q4ADV7	ENSP00000416696
E7ERS3	ENSP00000416951
P62995	ENSP00000416959
Q15910	ENSP00000417062
Q9H2U1	ENSP00000417078
