Entry	Ensembl_Protein	isomap:M20200405A94466D2655679D1FD8953E075198DA823CF7DE	Entry name	Status	Organism	Length
Q9UKA4	ENSP00000025301		AKA11_HUMAN	reviewed	Homo sapiens (Human)	1901
Q9BRB3	ENSP00000026218	ENSP00000026218 -> Q9BRB3-1	PIGQ_HUMAN	reviewed	Homo sapiens (Human)	760
Q12864	ENSP00000027335		CAD17_HUMAN	reviewed	Homo sapiens (Human)	832
Q9UBV7	ENSP00000029410		B4GT7_HUMAN	reviewed	Homo sapiens (Human)	327
Q9NYF5	ENSP00000033079	ENSP00000033079 -> Q9NYF5-1	FA13B_HUMAN	reviewed	Homo sapiens (Human)	915
Q9P2E5	ENSP00000035307	ENSP00000035307 -> Q9P2E5-1	CHPF2_HUMAN	reviewed	Homo sapiens (Human)	772
Q96NW7	ENSP00000035383		LRRC7_HUMAN	reviewed	Homo sapiens (Human)	1537
P60520	ENSP00000037243		GBRL2_HUMAN	reviewed	Homo sapiens (Human)	117
Q99972	ENSP00000037502		MYOC_HUMAN	reviewed	Homo sapiens (Human)	504
Q96C01	ENSP00000037869		F136A_HUMAN	reviewed	Homo sapiens (Human)	138
P00480	ENSP00000039007		OTC_HUMAN	reviewed	Homo sapiens (Human)	354
Q96AE7	ENSP00000039989	ENSP00000039989 -> Q96AE7-1	TTC17_HUMAN	reviewed	Homo sapiens (Human)	1141
P31273	ENSP00000040584		HXC8_HUMAN	reviewed	Homo sapiens (Human)	242
Q9BV20	ENSP00000040663	ENSP00000040663 -> Q9BV20-1	MTNA_HUMAN	reviewed	Homo sapiens (Human)	369
Q8NFC6	ENSP00000040738		BD1L1_HUMAN	reviewed	Homo sapiens (Human)	3051
Q13395	ENSP00000040877		TARB1_HUMAN	reviewed	Homo sapiens (Human)	1621
Q9BZR6	ENSP00000043402		RTN4R_HUMAN	reviewed	Homo sapiens (Human)	473
P25789	ENSP00000044462	ENSP00000044462 -> P25789-1	PSA4_HUMAN	reviewed	Homo sapiens (Human)	261
Q9BS86	ENSP00000046087	ENSP00000046087 -> Q9BS86-1	ZPBP1_HUMAN	reviewed	Homo sapiens (Human)	351
Q13094	ENSP00000046794		LCP2_HUMAN	reviewed	Homo sapiens (Human)	533
P07585	ENSP00000052754	ENSP00000052754 -> P07585-1	PGS2_HUMAN	reviewed	Homo sapiens (Human)	359
Q02223	ENSP00000053243	ENSP00000053243 -> Q02223-1	TNR17_HUMAN	reviewed	Homo sapiens (Human)	184
P82664	ENSP00000053468		RT10_HUMAN	reviewed	Homo sapiens (Human)	201
P28799	ENSP00000053867	ENSP00000053867 -> P28799-1	GRN_HUMAN	reviewed	Homo sapiens (Human)	593
Q8WTV1	ENSP00000054650	ENSP00000054650 -> Q8WTV1-1	THAP3_HUMAN	reviewed	Homo sapiens (Human)	239
Q15836	ENSP00000054666		VAMP3_HUMAN	reviewed	Homo sapiens (Human)	100
O95399	ENSP00000054668	ENSP00000054668 -> O95399-2	UTS2_HUMAN	reviewed	Homo sapiens (Human)	124
Q15293	ENSP00000054950	ENSP00000054950 -> Q15293-1	RCN1_HUMAN	reviewed	Homo sapiens (Human)	331
P35250	ENSP00000055077	ENSP00000055077 -> P35250-1	RFC2_HUMAN	reviewed	Homo sapiens (Human)	354
Q6ZSY5	ENSP00000055335	ENSP00000055335 -> Q6ZSY5-1	PPR3F_HUMAN	reviewed	Homo sapiens (Human)	799
Q5QGS0	ENSP00000055682		NEXMI_HUMAN	reviewed	Homo sapiens (Human)	1516
Q12774	ENSP00000056217	ENSP00000056217 -> Q12774-1	ARHG5_HUMAN	reviewed	Homo sapiens (Human)	1597
Q9Y4A8	ENSP00000056233		NF2L3_HUMAN	reviewed	Homo sapiens (Human)	694
O43897	ENSP00000061240	ENSP00000061240 -> O43897-1	TLL1_HUMAN	reviewed	Homo sapiens (Human)	1013
Q9NTU7	ENSP00000064571		CBLN4_HUMAN	reviewed	Homo sapiens (Human)	201
O75508	ENSP00000064724		CLD11_HUMAN	reviewed	Homo sapiens (Human)	207
Q92567	ENSP00000064778	ENSP00000064778 -> Q92567-1	F168A_HUMAN	reviewed	Homo sapiens (Human)	244
Q969Z4	ENSP00000064780		TR19L_HUMAN	reviewed	Homo sapiens (Human)	430
Q99959	ENSP00000070846	ENSP00000070846 -> Q99959-1	PKP2_HUMAN	reviewed	Homo sapiens (Human)	881
Q9Y548	ENSP00000072644	ENSP00000072644 -> Q9Y548-1	YIPF1_HUMAN	reviewed	Homo sapiens (Human)	306
Q7Z695	ENSP00000072869		ADCK2_HUMAN	reviewed	Homo sapiens (Human)	626
Q96PE3	ENSP00000074304	ENSP00000074304 -> Q96PE3-1	INP4A_HUMAN	reviewed	Homo sapiens (Human)	977
P11169	ENSP00000075120		GTR3_HUMAN	reviewed	Homo sapiens (Human)	496
Q6J9G0	ENSP00000075503		STYK1_HUMAN	reviewed	Homo sapiens (Human)	422
P29992	ENSP00000078429		GNA11_HUMAN	reviewed	Homo sapiens (Human)	359
Q68CJ9	ENSP00000078445	ENSP00000078445 -> Q68CJ9-1	CR3L3_HUMAN	reviewed	Homo sapiens (Human)	461
Q8WUI4	ENSP00000080059	ENSP00000080059 -> Q8WUI4-5	HDAC7_HUMAN	reviewed	Homo sapiens (Human)	952
P82673	ENSP00000081029	ENSP00000081029 -> P82673-1	RT35_HUMAN	reviewed	Homo sapiens (Human)	323
Q92624	ENSP00000083182		APBP2_HUMAN	reviewed	Homo sapiens (Human)	585
O75493	ENSP00000084798		CAH11_HUMAN	reviewed	Homo sapiens (Human)	328
Q96AB3	ENSP00000085068	ENSP00000085068 -> Q96AB3-2	ISOC2_HUMAN	reviewed	Homo sapiens (Human)	205
P20273	ENSP00000085219	ENSP00000085219 -> P20273-1	CD22_HUMAN	reviewed	Homo sapiens (Human)	847
O15499	ENSP00000086933		GSC2_HUMAN	reviewed	Homo sapiens (Human)	205
P51787	ENSP00000155840	ENSP00000155840 -> P51787-1	KCNQ1_HUMAN	reviewed	Homo sapiens (Human)	676
Q9NZQ8	ENSP00000155858	ENSP00000155858 -> Q9NZQ8-1	TRPM5_HUMAN	reviewed	Homo sapiens (Human)	1165
Q92519	ENSP00000155926		TRIB2_HUMAN	reviewed	Homo sapiens (Human)	343
Q96G74	ENSP00000156084	ENSP00000156084 -> Q96G74-1	OTUD5_HUMAN	reviewed	Homo sapiens (Human)	571
Q92917	ENSP00000156109		GPKOW_HUMAN	reviewed	Homo sapiens (Human)	476
O60306	ENSP00000156471		AQR_HUMAN	reviewed	Homo sapiens (Human)	1485
Q9NSC7	ENSP00000156626		SIA7A_HUMAN	reviewed	Homo sapiens (Human)	600
Q9NZU5	ENSP00000157600	ENSP00000157600 -> Q9NZU5-1	LMCD1_HUMAN	reviewed	Homo sapiens (Human)	365
P43686	ENSP00000157812	ENSP00000157812 -> P43686-1	PRS6B_HUMAN	reviewed	Homo sapiens (Human)	418
Q8TC99	ENSP00000158009		FNDC8_HUMAN	reviewed	Homo sapiens (Human)	324
Q8N5S9	ENSP00000158166	ENSP00000158166 -> Q8N5S9-2	KKCC1_HUMAN	reviewed	Homo sapiens (Human)	505
Q15027	ENSP00000158762		ACAP1_HUMAN	reviewed	Homo sapiens (Human)	740
Q9GZP9	ENSP00000158771		DERL2_HUMAN	reviewed	Homo sapiens (Human)	239
Q9HBY0	ENSP00000159060		NOX3_HUMAN	reviewed	Homo sapiens (Human)	568
Q9HCE9	ENSP00000159087	ENSP00000159087 -> Q9HCE9-1	ANO8_HUMAN	reviewed	Homo sapiens (Human)	1232
A0A0C4DFL8	ENSP00000159111		A0A0C4DFL8_HUMAN	unreviewed	Homo sapiens (Human)	1096
P32942	ENSP00000160262		ICAM3_HUMAN	reviewed	Homo sapiens (Human)	547
Q8WZ74	ENSP00000160373		CTTB2_HUMAN	reviewed	Homo sapiens (Human)	1663
O94805	ENSP00000160382		ACL6B_HUMAN	reviewed	Homo sapiens (Human)	426
Q14807	ENSP00000160827	ENSP00000160827 -> Q14807-1	KIF22_HUMAN	reviewed	Homo sapiens (Human)	665
Q9GZN4	ENSP00000161006		BSSP4_HUMAN	reviewed	Homo sapiens (Human)	317
P13688	ENSP00000161559	ENSP00000161559 -> P13688-1	CEAM1_HUMAN	reviewed	Homo sapiens (Human)	526
Q9H6S0	ENSP00000161863		YTDC2_HUMAN	reviewed	Homo sapiens (Human)	1430
Q9NX61	ENSP00000162044	ENSP00000162044 -> Q9NX61-1	T161A_HUMAN	reviewed	Homo sapiens (Human)	479
Q9P0K8	ENSP00000162391	ENSP00000162391 -> Q9P0K8-1	FOXJ2_HUMAN	reviewed	Homo sapiens (Human)	574
P19438	ENSP00000162749	ENSP00000162749 -> P19438-1	TNR1A_HUMAN	reviewed	Homo sapiens (Human)	455
Q8TBA6	ENSP00000163416	ENSP00000163416 -> Q8TBA6-1	GOGA5_HUMAN	reviewed	Homo sapiens (Human)	731
Q9NYQ7	ENSP00000164024	ENSP00000164024 -> Q9NYQ7-1	CELR3_HUMAN	reviewed	Homo sapiens (Human)	3312
Q15173	ENSP00000164133	ENSP00000164133 -> Q15173-1	2A5B_HUMAN	reviewed	Homo sapiens (Human)	497
P11217	ENSP00000164139	ENSP00000164139 -> P11217-1	PYGM_HUMAN	reviewed	Homo sapiens (Human)	842
P20749	ENSP00000164227		BCL3_HUMAN	reviewed	Homo sapiens (Human)	454
Q92521	ENSP00000164305		PIGB_HUMAN	reviewed	Homo sapiens (Human)	554
Q76G19	ENSP00000164640	ENSP00000164640 -> Q76G19-1	PDZD4_HUMAN	reviewed	Homo sapiens (Human)	769
P81277	ENSP00000165524		PRRP_HUMAN	reviewed	Homo sapiens (Human)	87
O95633	ENSP00000166139	ENSP00000166139 -> O95633-1	FSTL3_HUMAN	reviewed	Homo sapiens (Human)	263
P29322	ENSP00000166244	ENSP00000166244 -> P29322-1	EPHA8_HUMAN	reviewed	Homo sapiens (Human)	1005
Q15645	ENSP00000166345	ENSP00000166345 -> Q15645-1	PCH2_HUMAN	reviewed	Homo sapiens (Human)	432
Q7L8A9	ENSP00000167106	ENSP00000167106 -> Q7L8A9-1	VASH1_HUMAN	reviewed	Homo sapiens (Human)	365
P02533	ENSP00000167586		K1C14_HUMAN	reviewed	Homo sapiens (Human)	472
P35900	ENSP00000167588		K1C20_HUMAN	reviewed	Homo sapiens (Human)	424
Q13103	ENSP00000168148		SPP24_HUMAN	reviewed	Homo sapiens (Human)	211
Q99714	ENSP00000168216	ENSP00000168216 -> Q99714-1	HCD2_HUMAN	reviewed	Homo sapiens (Human)	261
P08620	ENSP00000168712	ENSP00000168712 -> P08620-1	FGF4_HUMAN	reviewed	Homo sapiens (Human)	206
P15907	ENSP00000169298	ENSP00000169298 -> P15907-1	SIAT1_HUMAN	reviewed	Homo sapiens (Human)	406
Q9BVV7	ENSP00000169551		TIM21_HUMAN	reviewed	Homo sapiens (Human)	248
Q8N4F0	ENSP00000170150		BPIB2_HUMAN	reviewed	Homo sapiens (Human)	458
Q8N1G1	ENSP00000170168		REXO1_HUMAN	reviewed	Homo sapiens (Human)	1221
Q9H000	ENSP00000170447	ENSP00000170447 -> Q9H000-1	MKRN2_HUMAN	reviewed	Homo sapiens (Human)	416
Q9BRR8	ENSP00000170564		GPTC1_HUMAN	reviewed	Homo sapiens (Human)	931
Q14145	ENSP00000171111		KEAP1_HUMAN	reviewed	Homo sapiens (Human)	624
O00398	ENSP00000171757		P2Y10_HUMAN	reviewed	Homo sapiens (Human)	339
Q9HBL0	ENSP00000171887	ENSP00000171887 -> Q9HBL0-1	TENS1_HUMAN	reviewed	Homo sapiens (Human)	1735
P08138	ENSP00000172229	ENSP00000172229 -> P08138-1	TNR16_HUMAN	reviewed	Homo sapiens (Human)	427
O95631	ENSP00000173229		NET1_HUMAN	reviewed	Homo sapiens (Human)	604
Q96CN7	ENSP00000173527		ISOC1_HUMAN	reviewed	Homo sapiens (Human)	298
Q12816	ENSP00000173898	ENSP00000173898 -> Q12816-1	TROP_HUMAN	reviewed	Homo sapiens (Human)	1431
Q99583	ENSP00000174618		MNT_HUMAN	reviewed	Homo sapiens (Human)	582
Q15012	ENSP00000175091		LAP4A_HUMAN	reviewed	Homo sapiens (Human)	233
Q9H2U9	ENSP00000175238	ENSP00000175238 -> Q9H2U9-1	ADAM7_HUMAN	reviewed	Homo sapiens (Human)	754
P08243	ENSP00000175506	ENSP00000175506 -> P08243-1	ASNS_HUMAN	reviewed	Homo sapiens (Human)	561
Q99952	ENSP00000175756	ENSP00000175756 -> Q99952-1	PTN18_HUMAN	reviewed	Homo sapiens (Human)	460
P21917	ENSP00000176183		DRD4_HUMAN	reviewed	Homo sapiens (Human)	419
P09683	ENSP00000176195		SECR_HUMAN	reviewed	Homo sapiens (Human)	121
O94804	ENSP00000176763		STK10_HUMAN	reviewed	Homo sapiens (Human)	968
Q9UL17	ENSP00000177694		TBX21_HUMAN	reviewed	Homo sapiens (Human)	535
C9JJ19	ENSP00000177742		C9JJ19_HUMAN	unreviewed	Homo sapiens (Human)	225
O43570	ENSP00000178638	ENSP00000178638 -> O43570-1	CAH12_HUMAN	reviewed	Homo sapiens (Human)	354
Q13163	ENSP00000178640	ENSP00000178640 -> Q13163-1	MP2K5_HUMAN	reviewed	Homo sapiens (Human)	448
Q9NQ88	ENSP00000179259		TIGAR_HUMAN	reviewed	Homo sapiens (Human)	270
Q9NP95	ENSP00000180166		FGF20_HUMAN	reviewed	Homo sapiens (Human)	211
Q9Y216	ENSP00000180173	ENSP00000180173 -> Q9Y216-1	MTMR7_HUMAN	reviewed	Homo sapiens (Human)	660
Q96IY4	ENSP00000181383	ENSP00000181383 -> Q96IY4-1	CBPB2_HUMAN	reviewed	Homo sapiens (Human)	423
Q9H098	ENSP00000181796	ENSP00000181796 -> Q9H098-2	F107B_HUMAN	reviewed	Homo sapiens (Human)	131
Q14004	ENSP00000181839	ENSP00000181839 -> Q14004-1	CDK13_HUMAN	reviewed	Homo sapiens (Human)	1512
Q96QS1	ENSP00000182290	ENSP00000182290 -> Q96QS1-1	TSN32_HUMAN	reviewed	Homo sapiens (Human)	320
Q15035	ENSP00000182527		TRAM2_HUMAN	reviewed	Homo sapiens (Human)	370
P56856	ENSP00000183605	ENSP00000183605 -> P56856-1	CLD18_HUMAN	reviewed	Homo sapiens (Human)	261
Q9HAT0	ENSP00000184183	ENSP00000184183 -> Q9HAT0-1	ROP1A_HUMAN	reviewed	Homo sapiens (Human)	212
O95168	ENSP00000184266	ENSP00000184266 -> O95168-1	NDUB4_HUMAN	reviewed	Homo sapiens (Human)	129
Q6AI08	ENSP00000184956		HEAT6_HUMAN	reviewed	Homo sapiens (Human)	1181
Q96DZ1	ENSP00000185150	ENSP00000185150 -> Q96DZ1-1	ERLEC_HUMAN	reviewed	Homo sapiens (Human)	483
Q9NZA1	ENSP00000185206	ENSP00000185206 -> Q9NZA1-1	CLIC5_HUMAN	reviewed	Homo sapiens (Human)	410
Q92545	ENSP00000186436		TM131_HUMAN	reviewed	Homo sapiens (Human)	1883
Q9H6F2	ENSP00000187762		TM38A_HUMAN	reviewed	Homo sapiens (Human)	299
Q9GZN1	ENSP00000188312	ENSP00000188312 -> Q9GZN1-1	ARP6_HUMAN	reviewed	Homo sapiens (Human)	396
Q12884	ENSP00000188790	ENSP00000188790 -> Q12884-1	SEPR_HUMAN	reviewed	Homo sapiens (Human)	760
Q9NQL9	ENSP00000190165		DMRT3_HUMAN	reviewed	Homo sapiens (Human)	472
Q9H3Q3	ENSP00000192314		G3ST2_HUMAN	reviewed	Homo sapiens (Human)	398
Q6BDS2	ENSP00000192788		URFB1_HUMAN	reviewed	Homo sapiens (Human)	1440
Q86WC4	ENSP00000193322		OSTM1_HUMAN	reviewed	Homo sapiens (Human)	334
Q9BZV3	ENSP00000193391		IMPG2_HUMAN	reviewed	Homo sapiens (Human)	1241
Q9BZW2	ENSP00000194130		S13A1_HUMAN	reviewed	Homo sapiens (Human)	595
Q9Y5E5	ENSP00000194152		PCDB4_HUMAN	reviewed	Homo sapiens (Human)	795
Q9Y5E7	ENSP00000194155		PCDB2_HUMAN	reviewed	Homo sapiens (Human)	798
Q9Y547	ENSP00000194214		IFT25_HUMAN	reviewed	Homo sapiens (Human)	144
Q9C0K7	ENSP00000194530	ENSP00000194530 -> Q9C0K7-1	STRAB_HUMAN	reviewed	Homo sapiens (Human)	418
Q02809	ENSP00000196061	ENSP00000196061 -> Q02809-1	PLOD1_HUMAN	reviewed	Homo sapiens (Human)	727
P55809	ENSP00000196371	ENSP00000196371 -> P55809-1	SCOT1_HUMAN	reviewed	Homo sapiens (Human)	520
Q9BWM5	ENSP00000196489		ZN416_HUMAN	reviewed	Homo sapiens (Human)	594
A2RU67	ENSP00000197268		F234B_HUMAN	reviewed	Homo sapiens (Human)	622
Q9UKJ1	ENSP00000198536	ENSP00000198536 -> Q9UKJ1-1	PILRA_HUMAN	reviewed	Homo sapiens (Human)	303
Q9NYV6	ENSP00000198767	ENSP00000198767 -> Q9NYV6-1	RRN3_HUMAN	reviewed	Homo sapiens (Human)	651
Q3SYC2	ENSP00000198801	ENSP00000198801 -> Q3SYC2-1	MOGT2_HUMAN	reviewed	Homo sapiens (Human)	334
P41181	ENSP00000199280		AQP2_HUMAN	reviewed	Homo sapiens (Human)	271
Q9UNQ2	ENSP00000199320		DIM1_HUMAN	reviewed	Homo sapiens (Human)	313
Q9BQI3	ENSP00000199389	ENSP00000199389 -> Q9BQI3-1	E2AK1_HUMAN	reviewed	Homo sapiens (Human)	630
Q8N427	ENSP00000199447		TXND3_HUMAN	reviewed	Homo sapiens (Human)	588
Q9UM22	ENSP00000199448	ENSP00000199448 -> Q9UM22-1	EPDR1_HUMAN	reviewed	Homo sapiens (Human)	224
Q13084	ENSP00000199706		RM28_HUMAN	reviewed	Homo sapiens (Human)	256
P09105	ENSP00000199708		HBAT_HUMAN	reviewed	Homo sapiens (Human)	142
P40199	ENSP00000199764		CEAM6_HUMAN	reviewed	Homo sapiens (Human)	344
Q9NW64	ENSP00000199814	ENSP00000199814 -> Q9NW64-1	RBM22_HUMAN	reviewed	Homo sapiens (Human)	420
P37059	ENSP00000199936		DHB2_HUMAN	reviewed	Homo sapiens (Human)	387
O43264	ENSP00000200135	ENSP00000200135 -> O43264-1	ZW10_HUMAN	reviewed	Homo sapiens (Human)	779
P16144	ENSP00000200181	ENSP00000200181 -> P16144-1	ITB4_HUMAN	reviewed	Homo sapiens (Human)	1822
O75807	ENSP00000200453	ENSP00000200453 -> O75807-1	PR15A_HUMAN	reviewed	Homo sapiens (Human)	674
Q15654	ENSP00000200457	ENSP00000200457 -> Q15654-1	TRIP6_HUMAN	reviewed	Homo sapiens (Human)	476
O75078	ENSP00000200557	ENSP00000200557 -> O75078-1	ADA11_HUMAN	reviewed	Homo sapiens (Human)	769
Q9H015	ENSP00000200652		S22A4_HUMAN	reviewed	Homo sapiens (Human)	551
P11597	ENSP00000200676	ENSP00000200676 -> P11597-1	CETP_HUMAN	reviewed	Homo sapiens (Human)	493
P25713	ENSP00000200691		MT3_HUMAN	reviewed	Homo sapiens (Human)	68
Q92754	ENSP00000201031	ENSP00000201031 -> Q92754-1	AP2C_HUMAN	reviewed	Homo sapiens (Human)	450
O00204	ENSP00000201586	ENSP00000201586 -> O00204-1	ST2B1_HUMAN	reviewed	Homo sapiens (Human)	365
Q8TE68	ENSP00000201647	ENSP00000201647 -> Q8TE68-1	ES8L1_HUMAN	reviewed	Homo sapiens (Human)	723
O75628	ENSP00000201979		REM1_HUMAN	reviewed	Homo sapiens (Human)	298
Q9NUG6	ENSP00000202017		PDRG1_HUMAN	reviewed	Homo sapiens (Human)	133
Q96KQ4	ENSP00000202556		ASPP1_HUMAN	reviewed	Homo sapiens (Human)	1090
O95932	ENSP00000202625	ENSP00000202625 -> O95932-1	TGM3L_HUMAN	reviewed	Homo sapiens (Human)	706
Q2PPJ7	ENSP00000202677	ENSP00000202677 -> Q2PPJ7-1	RGPA2_HUMAN	reviewed	Homo sapiens (Human)	1873
Q9H501	ENSP00000202816		ESF1_HUMAN	reviewed	Homo sapiens (Human)	851
Q9Y6E7	ENSP00000202967		SIR4_HUMAN	reviewed	Homo sapiens (Human)	314
Q9UJA5	ENSP00000203001	ENSP00000203001 -> Q9UJA5-1	TRM6_HUMAN	reviewed	Homo sapiens (Human)	497
P31930	ENSP00000203407		QCR1_HUMAN	reviewed	Homo sapiens (Human)	480
Q9P107	ENSP00000203556	ENSP00000203556 -> Q9P107-1	GMIP_HUMAN	reviewed	Homo sapiens (Human)	970
P18627	ENSP00000203629	ENSP00000203629 -> P18627-1	LAG3_HUMAN	reviewed	Homo sapiens (Human)	525
Q15773	ENSP00000203630		MLF2_HUMAN	reviewed	Homo sapiens (Human)	248
